source_id,first_name,last_name,institution
336,Bill,Baird,
336,Frank,Eeckman,
294,Sherif,Botros,
294,Christopher,Atkeson,
402,Anthony,Kuh,
402,Thomas,Petsche,
402,Ronald,Rivest,
356,Bert,de Vries,
356,José,Príncipe,
331,Herbert,Roitblat,
331,Patrick,Moore,
331,Paul,Nachtigall,
331,Ralph,Penner,
426,A.,Kramer,
426,C.,Sin,
426,R.,Chu,
426,P.,Ko,
329,Richard,Zemel,
329,Geoffrey,Hinton,
393,Jürgen,Schmidhuber,
314,Yann,LeCun,
314,Ido,Kanter,
314,Sara,Solla,
429,Michael,Mozer,
429,Todd,Soukup,
419,John,Denker,
419,Yann,LeCun,
401,David,Cohn,
401,Gerald,Tesauro,
338,Michael,Mozer,
355,Yoichi,Hayashi,
325,John,Platt,
378,Volker,Tresp,
406,Geraldine,Legendre,
406,Yoshiro,Miyata,
406,Paul,Smolensky,
319,Todd,Leen,
428,Peter,Dayan,
354,V. P.,Roychowdhury,
354,K. Y.,Siu,
354,A.,Orlitsky,
354,T.,Kailath,
307,Eytan,Ruppin,
307,Yehezkel,Yeshurun,
387,Michiel,Noordewier,
387,Geoffrey,Towell,
387,Jude,Shavlik,
416,John,Kruschke,
300,Stephen,Lane,
300,Marshall,Flax,
300,David,Handelman,
300,Jack,Gelfand,
312,Stephen,Omohundro,
365,Sebastian,Thrun,
365,Knut,Möller,
365,Alexander,Linden,
350,J.D.,Cowan,
350,A.,Friedman,
311,H.,Wang,
311,Bimal,Mathur,
311,Christof,Koch,
297,Stephen,Hanson,
297,Mark,Gluck,
390,Khalid,Choukri,
379,Josef,Skrzypek,
434,Janet,Wiles,
434,Michael,Humphreys,
434,John,Bain,
434,Simon,Dennis,
326,William,Faller,
326,Marvin,Luttges,
308,Léon,Bottou,
308,Patrick,Gallinari,
358,Joe,Tebelskis,
358,Alex,Waibel,
358,Bojan,Petek,
358,Otto,Schmidbauer,
315,Joseph,Collard,
374,Andreas,Herz,
374,Zhaoping,Li,
374,J.,van Hemmen,
306,Michael,Hasselmo,
306,Brooke,Anderson,
306,James,Bower,
344,Kenneth,Marko,
420,Ron,Keesing,
420,David,Stork,
398,Eric,Mjolsness,
398,Willard,Miranker,
327,Rodolfo,Milito,
327,Isabelle,Guyon,
327,Sara,Solla,
412,Pierre,Baldi,
364,Matt,Melton,
364,Tan,Phan,
364,Doug,Reeves,
364,Dave,Van den Bout,
405,B.A.,Golomb,
405,D.T.,Lawrence,
405,T.J.,Sejnowski,
403,Victor,Zue,
403,James,Glass,
403,David,Goodine,
403,Lynette,Hirschman,
403,Hong,Leung,
403,Michael,Phillips,
403,Joseph,Polifroni,
403,Stephanie,Seneff,
323,Andreas,Weigend,
323,David,Rumelhart,
323,Bernardo,Huberman,
380,Henrik,Fredholm,
380,Henrik,Bohr,
380,Jakob,Bohr,
380,Søren,Brunak,
380,Rodney,Cotterill,
380,Benny,Lautrup,
380,Steffen,Petersen,
383,Hal,McCartor,
332,Robert,Snapp,
332,Demetri,Psaltis,
332,Santosh,Venkatesh,
359,Hervé,Bourlard,
359,Nelson,Morgan,
359,Chuck,Wooters,
362,Shelly,Goggin,
362,Kristina,Johnson,
362,Karl,Gustafson,
347,David,Tam,
389,John,Perry,
389,Douglas,Baumgardt,
321,Bruce,Rosen,
321,James,Goodwin,
321,Jacques,Vidal,
328,John,Bridle,
328,Stephen,Cox,
368,Jeffrey,Teeters,
368,Frank,Eeckman,
368,Frank,Werblin,
418,Ajay,Gupta,
418,Wolfgang,Maass,
296,Bartlett,Mel,
296,Stephen,Omohundro,
377,Robert,Frye,
377,Kevin,Cummings,
377,Edward,Rietman,
370,David,Touretzky,
370,Deirdre,Wheeler,
388,Richard,Sutton,
385,Jonathan,Bachrach,
435,Padhraic,Smyth,
421,Leonid,Kruglyak,
421,William,Bialek,
397,James,Keeler,
397,David,Rumelhart,
397,Wee,Leow,
360,Ken-ichi,Iso,
360,Takao,Watanabe,
309,Thomas,Anastasio,
439,Sanjay,Biswas,
439,Santosh,Venkatesh,
299,Klaus,Obermayer,
299,Helge,Ritter,
299,Klaus,Schulten,
351,Roger,Shepard,
351,Sheila,Kannappan,
324,Y.,Pati,
324,P.,Krishnaprasad,
407,John,Baras,
407,Anthony,LaVigna,
375,William,Bialek,
375,Daniel,Ruderman,
375,A.,Zee,
392,Richard,Rohwer,
430,Robert,Jacobs,
430,Michael,Jordan,
422,R.D.,Beer,
422,G.,Kacmarcik,
422,R.E.,Ritzmann,
422,H.J.,Chiel,
396,Andrew,Moore,
396,John,Allman,
396,Geoffrey,Fox,
396,Rodney,Goodman,
335,Alireza,Khotanzad,
335,Ying-Wung,Lee,
423,Ulrich,Bodenhausen,
423,Alex,Waibel,
357,Griff,Bilbro,
357,David,van den Bout,
437,Jack,Cowan,
437,A.,Friedman,
330,Scott,Fahlman,
373,V.,Kadirkamanathan,
373,M.,Niranjan,
373,F.,Fallside,
550,Mark,Fanty,
550,Ronald,Cole,
550,Krist,Roginski,
461,Gale,Martin,
461,Mosfeq,Rashid,
498,Steven,Nowlan,
498,Geoffrey,Hinton,
580,Patrick,Haffner,
580,Alex,Waibel,
521,Yoshua,Bengio,
521,Renato,De Mori,
521,Giovanni,Flammia,
521,Ralf,Kompe,
510,John,Shawe-Taylor,
531,Mike,Wynne-Jones,
512,I.,Guyon,
512,V.,Vapnik,
512,B.,Boser,
512,L.,Bottou,
512,S. A.,Solla,
556,Donald,Freeman,
527,Elliot,Singer,
527,Richard,Lippmann,
443,Steve,Renals,
443,Nelson,Morgan,
443,Hervé,Bourlard,
443,Horacio,Franco,
443,Michael,Cohen,
441,John,Moody,
441,Joachim,Utans,
555,C. L.,Giles,
555,C. B.,Miller,
555,D.,Chen,
555,G. Z.,Sun,
555,H. H.,Chen,
555,Y. C.,Lee,
541,Öjvind,Bernander,
541,Christof,Koch,
541,Rodney,Douglas,
564,Hans,Graf,
564,Craig,Nohl,
564,Jan,Ben,
446,Emad,Eskandar,
446,Barry,Richmond,
446,John,Hertz,
446,Lance,Optican,
446,Troels,Kjær,
558,Marc,Cohen,
558,Philippe,Pouliquen,
558,Andreas,Andreou,
494,Nicholas,Redding,
494,T.,Downs,
473,Gadi,Pinkus,
485,David,Montana,
456,J. B.,Hampshire II,
456,B.,Kumar,
579,Sylvie,Thiria,
579,Carlos,Mejia,
579,Fouad,Badran,
579,Michel,Crépon,
474,Thomas,Anastasio,
470,Paul,Munro,
503,Gary,Scott,
503,Jude,Shavlik,
503,W.,Ray,
532,N.,Berthier,
532,S. P.,Singh,
532,A.,Barto,
532,J. C.,Houk,
515,Ronen,Basri,
515,Shimon,Ullman,
523,Jürgen,Schmidhuber,
507,Trent,Lange,
493,Ying,Zhao,
493,Christopher,Atkeson,
535,Yoav,Freund,
535,David,Haussler,
495,Stephen,Omohundro,
529,Kai-Yeung,Siu,
529,Jehoshua,Bruck,
517,Yeshwant,Muthusamy,
517,Ronald,Cole,
508,Hans-Ulrich,Bauer,
508,Klaus,Pawelzik,
508,Theo,Geisel,
559,Davi,Geiger,
559,Ricardo,Pereira,
499,Eric,Mjolsness,
513,Alexandre,Pouget,
513,Stephen,Fisher,
513,Terrence,Sejnowski,
463,Amnon,Shashua,
457,Stephen,Judd,
582,Hayit,Greenspan,
582,Rodney,Goodman,
582,Rama,Chellappa,
453,Joshua,Alspector,
453,Anthony,Jayakumar,
453,Stephan,Luna,
562,Paul,Viola,
562,Stephen,Lisberger,
562,Terrence,Sejnowski,
462,Trevor,Darrell,
462,Alex,Pentland,
522,Michael,Mozer,
444,James,Buchanan,
491,A. R.,Bulsara,
491,W.,Jacobs,
492,Carlos,Brody,
539,Anthony,Zador,
539,Brenda,Claiborne,
539,Thomas,Brown,
561,Hilary,Tunley,
476,Ajay,Jain,
514,Michael,Jordan,
514,Robert,Jacobs,
501,Dana,Anderson,
501,Claus,Benkert,
501,Verena,Hebler,
501,Ju-Seog,Jang,
501,Don,Montgomery,
501,Mark,Saffman,
554,Eduard,Säckinger,
554,Bernhard,Boser,
554,Lawrence,Jackel,
537,Kenji,Doya,
537,Shuji,Yoshizawa,
475,Jerome,Connor,
475,Les,Atlas,
475,Douglas,Martin,
586,M.,Jabri,
586,S.,Pickard,
586,P.,Leong,
586,Z.,Chi,
586,B.,Flower,
586,Y.,Xie,
519,Sheri,Gish,
519,Mario,Blaum,
545,Anthony,Bell,
536,Patrice,Simard,
536,Bernard,Victorri,
536,Yann,LeCun,
536,John,Denker,
445,Jakob,Bernasconi,
445,Karl,Gustafson,
465,Gerald,Tesauro,
525,Martin,Glassman,
557,Ofer,Matan,
557,Christopher,Burges,
557,Yann,LeCun,
557,John,Denker,
480,Alex,Waibel,
480,Ajay,Jain,
480,Arthur,McNair,
480,Joe,Tebelskis,
480,Louise,Osterholtz,
480,Hiroaki,Saito,
480,Otto,Schmidbauer,
480,Tilo,Sloboda,
480,Monika,Woszczyna,
477,Charles,Neugebauer,
477,Amnon,Yariv,
